customer_id,loyalty_score,product_id,product_description,product_category,basket,date_of_purchase
C1,7.0,,,,,
C2,4.0,,,,,
C3,8.0,,,,,
C4,5.0,,,,,
C5,7.0,,,,,
C6,10.0,,,,,
C7,3.0,,,,,
C8,7.0,,,,,
C9,8.0,,,,,
C10,5.0,,,,,
C11,4.0,,,,,
C12,8.0,,,,,
C13,8.0,,,,,
C14,3.0,,,,,
C15,6.0,,,,,
C16,5.0,,,,,
C17,2.0,,,,,
C18,8.0,,,,,
C19,6.0,,,,,
C20,2.0,,,,,
C21,5.0,,,,,
C22,1.0,,,,,
C23,10.0,,,,,
C24,6.0,,,,,
C25,9.0,,,,,
C26,1.0,,,,,
C27,10.0,,,,,
C28,3.0,,,,,
C29,7.0,,,,,
C30,4.0,,,,,
C31,9.0,,,,,
C32,3.0,,,,,
C33,5.0,,,,,
C34,3.0,,,,,
C35,7.0,,,,,
C36,5.0,,,,,
C37,9.0,,,,,
C38,7.0,,,,,
C39,2.0,,,,,
C40,4.0,,,,,
C41,9.0,,,,,
C42,2.0,,,,,
C43,10.0,,,,,
C44,9.0,,,,,
C45,10.0,,,,,
C46,5.0,,,,,
C47,2.0,,,,,
C48,4.0,,,,,
C49,7.0,,,,,
C50,8.0,,,,,
C51,3.0,,,,,
C52,1.0,,,,,
C53,4.0,,,,,
C54,2.0,,,,,
C55,8.0,,,,,
C56,4.0,,,,,
C57,2.0,,,,,
C58,6.0,,,,,
C59,6.0,,,,,
C60,10.0,,,,,
C61,4.0,,,,,
C62,6.0,,,,,
C63,2.0,,,,,
C64,10.0,,,,,
C65,2.0,,,,,
C66,10.0,,,,,
C67,4.0,,,,,
C68,8.0,,,,,
C69,7.0,,,,,
C70,9.0,,,,,
C71,8.0,,,,,
C72,5.0,,,,,
C73,2.0,,,,,
C74,5.0,,,,,
C75,8.0,,,,,
C76,10.0,,,,,
C77,9.0,,,,,
C78,9.0,,,,,
C79,1.0,,,,,
C80,9.0,,,,,
C81,7.0,,,,,
C82,9.0,,,,,
C83,8.0,,,,,
C84,1.0,,,,,
C85,8.0,,,,,
C86,8.0,,,,,
C87,3.0,,,,,
C88,1.0,,,,,
C89,8.0,,,,,
C90,3.0,,,,,
C91,3.0,,,,,
C92,1.0,,,,,
C93,5.0,,,,,
C94,10.0,,,,,
C95,7.0,,,,,
C96,10.0,,,,,
C97,9.0,,,,,
C98,7.0,,,,,
C99,9.0,,,,,
C100,8.0,,,,,
C101,2.0,,,,,
C102,1.0,,,,,
C103,7.0,,,,,
C104,7.0,,,,,
C105,8.0,,,,,
C106,5.0,,,,,
C107,3.0,,,,,
C108,8.0,,,,,
C109,6.0,,,,,
C110,3.0,,,,,
C111,1.0,,,,,
C112,3.0,,,,,
C113,5.0,,,,,
C114,3.0,,,,,
C115,1.0,,,,,
C116,5.0,,,,,
C117,10.0,,,,,
C118,7.0,,,,,
C119,7.0,,,,,
C120,9.0,,,,,
C121,10.0,,,,,
C122,10.0,,,,,
C123,3.0,,,,,
C124,7.0,,,,,
C125,1.0,,,,,
C126,4.0,,,,,
C127,4.0,,,,,
C128,5.0,,,,,
C129,7.0,,,,,
C130,7.0,,,,,
C131,4.0,,,,,
C132,7.0,,,,,
C133,3.0,,,,,
C134,6.0,,,,,
C135,2.0,,,,,
C136,10.0,,,,,
C137,9.0,,,,,
,,P01,detergent,house,,
,,P02,kitchen roll,house,,
,,P03,bin liners,house,,
,,P04,shower gel,house,,
,,P05,scented candles,house,,
,,P06,fabric softener,house,,
,,P07,cling film,house,,
,,P08,aluminium foil,house,,
,,P09,toilet paper,house,,
,,P10,kitchen knife,house,,
,,P11,dishwasher tablets,house,,
,,P12,ice pack,house,,
,,P13,men's dark green trousers,clothes,,
,,P14,women's shoes,clothes,,
,,P15,jumper,clothes,,
,,P16,men's belt,clothes,,
,,P17,women's black socks,clothes,,
,,P18,men's striped socks,clothes,,
,,P19,men's trainers,clothes,,
,,P20,women's blouse,clothes,,
,,P21,women's red dress,clothes,,
,,P22,avocado,fruit_veg,,
,,P23,cherries,fruit_veg,,
,,P24,scotch bonnets,fruit_veg,,
,,P25,peppers,fruit_veg,,
,,P26,broccoli,fruit_veg,,
,,P27,potatoes,fruit_veg,,
,,P28,grapes,fruit_veg,,
,,P29,easy peeler,fruit_veg,,
,,P30,mango,fruit_veg,,
,,P31,lemon grass,fruit_veg,,
,,P32,onions,fruit_veg,,
,,P33,apples,fruit_veg,,
,,P34,raspberries,fruit_veg,,
,,P35,carrot cake,sweets,,
,,P36,salted caramel dark chocolate,sweets,,
,,P37,gummy bears,sweets,,
,,P38,kombucha,sweets,,
,,P39,ice cream,sweets,,
,,P40,irn bru,sweets,,
,,P41,steak,food,,
,,P42,chicken,food,,
,,P43,mince beef,food,,
,,P44,milk,food,,
,,P45,hummus,food,,
,,P46,activated charcoal croissant,food,,
,,P47,whole chicken,food,,
,,P48,tuna,food,,
,,P49,smoked salmon,food,,
,,P50,camembert,food,,
,,P51,pizza,food,,
,,P52,oats,food,,
,,P53,peanut butter,food,,
,,P54,almond milk,food,,
,,P55,lentil soup,food,,
,,P56,greek yoghurt,food,,
,,P57,parmesan,food,,
,,P58,coconut water,food,,
,,P59,chicken stock,food,,
,,P60,water,food,,
,,P61,red wine,bws,,
,,P62,gin,bws,,
,,P63,cognac,bws,,
,,P64,cigarettes,bws,,
C3,,,,,"[{'product_id': 'P26', 'price': 1545}, {'product_id': 'P25', 'price': 831}]",2018-12-01 06:26:00
C11,,,,,"[{'product_id': 'P02', 'price': 1650}, {'product_id': 'P07', 'price': 880}, {'product_id': 'P05', 'price': 380}]",2018-12-01 21:19:00
C21,,,,,"[{'product_id': 'P05', 'price': 594}, {'product_id': 'P11', 'price': 571}, {'product_id': 'P06', 'price': 554}]",2018-12-01 10:09:00
C31,,,,,"[{'product_id': 'P34', 'price': 983}, {'product_id': 'P27', 'price': 1029}, {'product_id': 'P25', 'price': 518}]",2018-12-01 14:23:00
C37,,,,,"[{'product_id': 'P63', 'price': 1559}, {'product_id': 'P61', 'price': 1965}]",2018-12-01 07:08:00
C42,,,,,"[{'product_id': 'P22', 'price': 1021}]",2018-12-01 18:18:00
C47,,,,,"[{'product_id': 'P60', 'price': 437}, {'product_id': 'P46', 'price': 1827}, {'product_id': 'P51', 'price': 1021}]",2018-12-01 07:38:00
C50,,,,,"[{'product_id': 'P39', 'price': 773}]",2018-12-01 13:55:00
C56,,,,,"[{'product_id': 'P35', 'price': 1750}, {'product_id': 'P38', 'price': 182}]",2018-12-01 04:10:00
C62,,,,,"[{'product_id': 'P59', 'price': 1924}, {'product_id': 'P41', 'price': 1403}]",2018-12-01 21:04:00
C76,,,,,"[{'product_id': 'P23', 'price': 162}, {'product_id': 'P27', 'price': 1227}, {'product_id': 'P24', 'price': 838}]",2018-12-01 05:15:00
C95,,,,,"[{'product_id': 'P30', 'price': 1625}, {'product_id': 'P25', 'price': 1224}]",2018-12-01 20:10:00
C96,,,,,"[{'product_id': 'P22', 'price': 1390}, {'product_id': 'P22', 'price': 1282}]",2018-12-01 08:46:00
C97,,,,,"[{'product_id': 'P57', 'price': 180}]",2018-12-01 02:59:00
C98,,,,,"[{'product_id': 'P59', 'price': 1901}]",2018-12-01 05:19:00
C102,,,,,"[{'product_id': 'P58', 'price': 1617}]",2018-12-01 06:33:00
C105,,,,,"[{'product_id': 'P57', 'price': 1281}, {'product_id': 'P51', 'price': 18}]",2018-12-01 10:02:00
C107,,,,,"[{'product_id': 'P61', 'price': 3}]",2018-12-01 06:42:00
C125,,,,,"[{'product_id': 'P09', 'price': 1330}]",2018-12-01 19:45:00
C129,,,,,"[{'product_id': 'P09', 'price': 1360}, {'product_id': 'P05', 'price': 1183}, {'product_id': 'P11', 'price': 1716}]",2018-12-01 10:38:00
C130,,,,,"[{'product_id': 'P04', 'price': 515}, {'product_id': 'P07', 'price': 1974}, {'product_id': 'P08', 'price': 1672}]",2018-12-01 20:54:00
C135,,,,,"[{'product_id': 'P46', 'price': 1158}, {'product_id': 'P60', 'price': 1957}, {'product_id': 'P50', 'price': 1506}]",2018-12-01 22:49:00
